id,time,crime
Adygey,2010,1063
Altay,2010,1981
Amur,2010,2223
Arkhangel'sk,2010,2021
Astrakhan',2010,2574
Bashkortostan,2010,1776
Belgorod,2010,1099
Bryansk,2010,1833
Buryat,2010,2731
Chechnya,2010,363
Chelyabinsk,2010,2422
Chukot,2010,1613
Chuvash,2010,1454
City of St. Petersburg,2010,1323
Dagestan,2010,403
Gorno-Altay,2010,2483
Ingush,2010,466
Irkutsk,2010,2707
Ivanovo,2010,1771
Kabardin-Balkar,2010,1084
Kaliningrad,2010,1792
Kalmyk,2010,1401
Kaluga,2010,1776
Kamchatka,2010,1689
Karachay-Cherkess,2010,916
Karelia,2010,2129
Kemerovo,2010,2375
Khabarovsk,2010,2401
Khakass,2010,2204
Khanty-Mansiy,2010,2243
Kirov,2010,1599
Komi,2010,2176
Kostroma,2010,1480
Krasnodar,2010,1260
Krasnoyarsk,2010,2508
Kurgan,2010,2561
Kursk,2010,1620
Leningrad,2010,1658
Lipetsk,2010,1385
Magadan,2010,2254
Mariy-El,2010,1782
Mordovia,2010,1019
Moscow City,2010,1622
Moskva,2010,1620
Murmansk,2010,2113
Nenets,2010,2038
Nizhegorod,2010,2431
North Ossetia,2010,987
Novgorod,2010,1841
Novosibirsk,2010,2490
Omsk,2010,1685
Orel,2010,1730
Orenburg,2010,1692
Penza,2010,1223
Perm',2010,2780
Primor'ye,2010,2599
Pskov,2010,1820
Rostov,2010,1386
Ryazan',2010,916
Sakha,2010,1793
Sakhalin,2010,2176
Samara,2010,2106
Saratov,2010,1516
Smolensk,2010,2116
Stavropol',2010,1299
Sverdlovsk,2010,2241
Tambov,2010,1260
Tatarstan,2010,1552
Tomsk,2010,2786
Tula,2010,1023
Tuva,2010,1947
Tver',2010,2202
Tyumen',2010,2859
Udmurt,2010,2149
Ul'yanovsk,2010,1368
Vladimir,2010,1775
Volgograd,2010,1731
Vologda,2010,2027
Voronezh,2010,1177
Yamal-Nenets,2010,1836
Yaroslavl',2010,1673
Yevrey,2010,2272
Zabaykal'ye,2010,2618
Adygey,2011,1035
